TILEMAP
64 64                        -- Size of tile map in tiles
16 16			      -- Tile size & block size
images/tilesheet2.png          -- Tilesheet
16 16                         -- Number of tiles in tilesheet
87,88,89,90,87,88,89,90,87,88,89,90,87,88,87,88,89,90,87,88,89,90,87,88,89,90,87,88,89,90,87,88,89,89,90,87,88,89,90,87,88,89,90,87,88,89,87,88,89,90,87,88,89,90,87,88,89,90,87,88,89,90,87,88,
72,73,73,74,72,73,74,71,72,73,74,71,72,73,72,73,73,74,72,73,74,71,72,73,74,71,72,73,73,73,72,73,73,74,71,72,73,74,71,72,73,73,73,72,73,73,72,73,73,74,72,73,74,71,72,73,74,71,72,73,73,73,72,73,
88,89,89,90,88,89,90,87,88,89,90,87,88,89,88,89,89,90,88,89,90,87,88,89,90,87,88,89,89,89,88,89,89,90,87,88,89,90,87,88,89,89,89,88,89,89,88,89,89,90,88,89,90,87,88,89,90,87,88,89,89,89,88,89,
72,89,73,7,8,9,10,11,12,13,7,75,72,73,74,71,72,73,73,7,8,9,10,11,12,13,7,75,72,73,74,71,72,73,74,7,8,9,10,11,12,13,7,75,72,89,72,89,73,89,73,7,8,9,10,11,12,13,7,75,71,72,89,73,
71,88,72,0,16,15,18,19,25,14,0,91,88,89,90,87,88,89,89,0,24,15,18,19,25,15,0,91,88,89,90,87,88,89,90,0,24,15,18,19,25,15,0,75,71,88,71,88,72,88,72,0,24,15,18,19,25,15,0,75,89,71,88,72,
89,89,71,0,16,17,18,19,20,21,4,5,6,5,5,5,5,5,5,2,36,17,18,19,20,17,0,75,73,74,73,72,73,73,74,0,16,17,18,19,20,17,4,5,6,5,5,5,6,5,5,2,36,17,18,19,20,17,0,75,88,89,89,71,
88,71,89,0,24,22,23,22,23,22,23,32,33,34,35,34,35,34,35,36,14,22,23,22,23,22,0,91,89,90,89,88,89,89,90,0,24,22,23,22,23,22,23,32,33,56,57,47,33,34,35,36,14,22,23,22,23,22,0,75,72,88,71,89,
72,89,73,0,16,17,20,17,20,17,20,40,20,17,20,40,20,17,20,40,20,20,40,17,20,17,0,75,72,73,74,71,72,73,74,0,16,17,20,17,20,17,20,17,20,58,59,55,22,17,20,17,20,17,20,17,20,17,0,75,71,72,89,73,
71,88,72,0,24,22,23,22,23,22,30,31,23,22,30,31,23,22,30,31,14,17,43,28,23,22,0,75,88,89,90,87,88,89,90,0,24,26,27,44,23,22,23,22,23,58,59,55,23,22,23,22,14,26,43,19,23,22,0,75,89,71,88,72,
89,89,71,0,16,17,18,19,20,17,38,39,37,17,38,39,37,17,38,39,37,22,51,19,20,17,0,91,73,74,73,72,73,73,74,0,16,17,18,52,40,17,40,17,20,60,61,55,15,17,20,17,37,17,51,19,40,17,0,75,88,89,89,71,
